lat,lng,duration,walkTime,walkDistance,transitTime,transfers
41.73074785,-87.5410673,3354,328,412.6605564,2952,1
41.72796158,-87.5401674,3350,190,235.4040977,3086,1
41.73299454,-87.53948228,4264,638,792.7480677,3023,1
41.74340118,-87.56337045,3540,794,1018.704594,2450,1
41.74178859,-87.56212831,3247,731,936.6464286,2442,1
41.79871804,-87.5970021,2042,329,425.9222105,1711,0
41.94398969,-87.81399134,3727,617,779.3960226,2964,1
41.94049713,-87.81599855,4092,612,766.8131053,3207,1
41.9497163,-87.81176707,3891,711,896.5212331,2565,1
41.98097024,-87.80523247,2672,540,664.6787519,1890,0
41.98385569,-87.80493116,2883,751,919.1098571,1890,0
41.98552786,-87.80508006,2825,671,844.1843684,1986,1
41.76472789,-87.58211538,2389,605,768.0152707,1782,0
41.88257245,-87.64573448,883,350,437.2752256,531,0
41.88236996,-87.65379551,1166,252,308.5730977,912,0
41.98541719,-87.7788934,3057,918,1161.594008,1887,1
41.97204269,-87.76701616,2669,807,1004.837669,1620,0
41.99282703,-87.79104998,3295,982,1247.459692,2061,1
41.89860866,-87.77343386,2643,555,698.8048496,1741,1
41.92138966,-87.75452888,3232,845,1067.773444,2214,1
41.91339913,-87.75460428,3430,625,785.9483835,2599,1
41.914996,-87.74906269,2959,627,786.5505789,2132,1
41.91711932,-87.75038025,2830,498,627.761188,2132,1
41.9122371,-87.75667678,2838,587,734.690812,1953,1
41.90673979,-87.75929777,3030,942,1200.079684,1945,1
41.91171068,-87.79821808,3817,919,1171.433684,2527,1
41.90948649,-87.77705296,2908,551,677.6831429,2010,1
41.91021825,-87.79146104,3673,467,569.4125639,3079,1
41.93079981,-87.78385868,3137,379,464.1147744,2588,1
41.93372449,-87.78730763,3421,587,732.6712331,2664,1
41.92112951,-87.77742903,3401,575,715.7360226,2299,1
41.96138056,-87.78408947,3326,1059,1351.771128,1981,1
41.96343175,-87.77925816,2973,759,961.6260677,1928,1
41.93896366,-87.79091668,3560,569,704.8309398,2838,1
41.95820382,-87.76686234,2740,638,794.1216165,1957,1
41.95211227,-87.75834228,2787,589,737.047609,2009,1
